"Invoice","item"
168,"bottled beer"
169,"hamburger meat"
170,"domestic eggs"
171,"whole milk"
172,"fish"
173,"coffee"
174,"frankfurter"
175,"packaged fruit/vegetables"
176,"pastry"
178,"misc. beverages"
179,"frankfurter"
180,"pip fruit"
181,"domestic eggs"
182,"misc. beverages"
183,"sparkling wine"
184,"specialty bar"
185,"sausage"
186,"curd cheese"
187,"frankfurter"
188,"whole milk"
189,"shopping bags"
190,"newspapers"
191,"berries"
192,"curd"
193,"tropical fruit"
194,"soda"
195,"rolls/buns"
196,"canned beer"
197,"canned beer"
198,"frankfurter"
199,"margarine"
201,"whole milk"
202,"whole milk"
203,"citrus fruit"
204,"oil"
205,"frankfurter"
206,"frankfurter"
207,"whole milk"
208,"sugar"
209,"butter milk"
210,"detergent"
211,"hamburger meat"
212,"bottled water"
213,"pasta"
215,"chocolate"
216,"sausage"
217,"white bread"
218,"rolls/buns"
219,"grapes"
220,"yogurt"
221,"root vegetables"
222,"beverages"
223,"bottled beer"
224,"coffee"
225,"popcorn"
226,"whole milk"
227,"soda"
228,"tropical fruit"
229,"snack products"
230,"beef"
231,"flower soil/fertilizer"
232,"whole milk"
233,"frankfurter"
234,"tropical fruit"
235,"canned beer"
236,"finished products"
237,"beverages"
238,"hamburger meat"
239,"whole milk"
240,"finished products"
242,"ham"
243,"white bread"
245,"curd"
246,"popcorn"
247,"bottled beer"
248,"curd"
249,"waffles"
250,"whole milk"
251,"whole milk"
252,"dessert"
253,"sausage"
255,"shopping bags"
256,"ham"
259,"soda"
260,"herbs"
261,"frankfurter"
262,"root vegetables"
263,"curd"
264,"sliced cheese"
265,"domestic eggs"
266,"fruit/vegetable juice"
267,"rolls/buns"
268,"curd"
269,"cake bar"
270,"frankfurter"
271,"margarine"
273,"dog food"
274,"specialty bar"
275,"curd"
276,"shopping bags"
277,"frankfurter"
278,"soda"
279,"beef"
280,"dessert"
281,"canned beer"
282,"pork"
283,"spices"
284,"frankfurter"
285,"sugar"
286,"sausage"
287,"canned beer"
288,"specialty chocolate"
289,"curd"
290,"canned beer"
291,"whole milk"
292,"rolls/buns"
293,"pork"
294,"dishes"
295,"citrus fruit"
296,"potted plants"
297,"rolls/buns"
298,"butter"
299,"make up remover"
300,"condensed milk"
301,"sausage"
302,"shopping bags"
303,"whole milk"
304,"sausage"
305,"rolls/buns"
306,"beverages"
307,"beverages"
308,"bottled water"
309,"newspapers"
310,"cleaner"
311,"sausage"
312,"newspapers"
313,"sausage"
314,"whole milk"
315,"hard cheese"
316,"misc. beverages"
317,"white wine"
318,"sausage"
319,"canned beer"
320,"meat"
321,"frankfurter"
322,"oil"
323,"ice cream"
324,"canned beer"
325,"tropical fruit"
326,"bottled water"
327,"meat"
328,"dessert"
329,"rolls/buns"
330,"whole milk"
331,"sausage"
332,"rolls/buns"
333,"frankfurter"
334,"curd"
335,"long life bakery product"
336,"meat"
337,"root vegetables"
338,"detergent"
339,"root vegetables"
340,"sliced cheese"
341,"whole milk"
342,"citrus fruit"
343,"yogurt"
344,"salt"
345,"canned fish"
346,"citrus fruit"
347,"sugar"
349,"misc. beverages"
350,"citrus fruit"
351,"sausage"
352,"frankfurter"
353,"root vegetables"
354,"potato products"
355,"hard cheese"
356,"cream cheese"
357,"turkey"
358,"photo/film"
359,"pork"
360,"soda"
361,"whole milk"
362,"rolls/buns"
363,"sausage"
364,"yogurt"
365,"hygiene articles"
366,"ice cream"
367,"liquor"
368,"pip fruit"
369,"root vegetables"
370,"soda"
371,"soda"
372,"sausage"
373,"whole milk"
374,"soda"
375,"root vegetables"
376,"pork"
377,"pastry"
378,"pork"
379,"chocolate"
380,"fruit/vegetable juice"
381,"pickled vegetables"
382,"bottled water"
383,"frankfurter"
384,"rolls/buns"
385,"tropical fruit"
386,"whole milk"
387,"tea"
388,"canned beer"
389,"root vegetables"
390,"meat"
391,"whole milk"
392,"frankfurter"
393,"hygiene articles"
394,"tropical fruit"
395,"tropical fruit"
396,"butter milk"
397,"citrus fruit"
398,"whole milk"
399,"margarine"
400,"hamburger meat"
401,"yogurt"
402,"margarine"
403,"chicken"
404,"dessert"
405,"pasta"
406,"chicken"
407,"whole milk"
408,"frankfurter"
409,"whole milk"
410,"canned beer"
411,"turkey"
412,"packaged fruit/vegetables"
413,"domestic eggs"
414,"bottled water"
415,"pasta"
416,"citrus fruit"
417,"sausage"
418,"brown bread"
419,"whole milk"
420,"waffles"
421,"canned beer"
422,"citrus fruit"
423,"liquor (appetizer)"
424,"citrus fruit"
425,"shopping bags"
426,"sausage"
427,"chicken"
428,"oil"
429,"newspapers"
430,"hamburger meat"
431,"yogurt"
432,"margarine"
433,"sausage"
434,"yogurt"
435,"beef"
436,"whipped/sour cream"
437,"citrus fruit"
438,"UHT-milk"
439,"candy"
440,"newspapers"
441,"beef"
442,"sausage"
443,"frankfurter"
444,"dessert"
445,"mustard"
446,"napkins"
447,"canned beer"
448,"bottled beer"
449,"onions"
450,"newspapers"
451,"tropical fruit"
452,"candy"
453,"bottled water"
454,"beef"
455,"soap"
456,"sausage"
457,"whole milk"
458,"cleaner"
459,"hair spray"
460,"chicken"
461,"shopping bags"
462,"pork"
463,"sugar"
464,"ice cream"
465,"meat"
467,"bottled water"
468,"tropical fruit"
469,"photo/film"
470,"sausage"
471,"soda"
472,"grapes"
473,"domestic eggs"
474,"rolls/buns"
475,"tropical fruit"
476,"chicken"
477,"frankfurter"
478,"bottled water"
479,"berries"
480,"butter milk"
481,"misc. beverages"
482,"margarine"
483,"tropical fruit"
484,"shopping bags"
485,"ham"
486,"rolls/buns"
487,"candy"
488,"hamburger meat"
489,"yogurt"
490,"napkins"
491,"soda"
492,"yogurt"
493,"soda"
494,"bottled water"
495,"sausage"
496,"citrus fruit"
497,"pet care"
498,"shopping bags"
499,"newspapers"
500,"frankfurter"
501,"frozen potato products"
502,"sausage"
503,"frankfurter"
504,"salt"
505,"oil"
506,"curd"
507,"pastry"
509,"citrus fruit"
510,"frankfurter"
511,"root vegetables"
512,"mayonnaise"
513,"tropical fruit"
514,"beef"
515,"berries"
516,"shopping bags"
517,"canned beer"
518,"whipped/sour cream"
519,"root vegetables"
520,"candy"
521,"whole milk"
522,"beef"
523,"frozen vegetables"
524,"rolls/buns"
525,"whole milk"
526,"whole milk"
527,"citrus fruit"
528,"pastry"
529,"frankfurter"
530,"butter"
531,"tropical fruit"
532,"domestic eggs"
533,"frankfurter"
534,"whipped/sour cream"
535,"berries"
536,"whole milk"
537,"specialty bar"
538,"rolls/buns"
539,"bottled beer"
540,"root vegetables"
541,"frozen vegetables"
542,"yogurt"
544,"berries"
545,"berries"
547,"rolls/buns"
548,"ham"
549,"rolls/buns"
550,"whole milk"
551,"tropical fruit"
552,"bottled water"
553,"butter milk"
554,"newspapers"
555,"coffee"
556,"bottled beer"
557,"onions"
558,"frozen vegetables"
559,"candy"
560,"hamburger meat"
561,"dog food"
562,"sausage"
563,"pastry"
564,"hard cheese"
565,"sausage"
566,"hamburger meat"
567,"onions"
568,"coffee"
569,"shopping bags"
570,"yogurt"
571,"soda"
572,"soda"
573,"sliced cheese"
574,"sausage"
575,"yogurt"
576,"domestic eggs"
577,"whole milk"
578,"meat"
579,"dish cleaner"
581,"whole milk"
582,"rolls/buns"
583,"long life bakery product"
585,"tropical fruit"
586,"baking powder"
587,"specialty bar"
588,"ice cream"
589,"frankfurter"
590,"canned beer"
591,"bottled water"
593,"bottled water"
594,"citrus fruit"
595,"shopping bags"
596,"sausage"
597,"soda"
598,"domestic eggs"
599,"pork"
601,"specialty cheese"
602,"fruit/vegetable juice"
603,"pork"
604,"fruit/vegetable juice"
605,"beef"
606,"rolls/buns"
608,"chicken"
609,"chewing gum"
610,"soda"
611,"whole milk"
612,"rolls/buns"
613,"bottled beer"
614,"root vegetables"
615,"pastry"
616,"berries"
617,"citrus fruit"
618,"canned vegetables"
619,"whole milk"
620,"soda"
621,"bottled water"
622,"tropical fruit"
623,"salty snack"
624,"bottled water"
625,"chocolate"
626,"citrus fruit"
627,"bottled water"
628,"onions"
629,"soda"
630,"dessert"
631,"beef"
632,"rolls/buns"
633,"dental care"
634,"rolls/buns"
635,"bottled beer"
636,"beef"
638,"soda"
639,"coffee"
640,"rolls/buns"
641,"pork"
642,"whole milk"
643,"shopping bags"
644,"soda"
645,"napkins"
646,"sausage"
647,"white bread"
648,"beef"
649,"sugar"
650,"whole milk"
651,"pork"
652,"berries"
653,"fruit/vegetable juice"
654,"sausage"
655,"whipped/sour cream"
656,"bottled water"
657,"tropical fruit"
658,"hard cheese"
659,"herbs"
660,"yogurt"
661,"Instant food products"
662,"specialty chocolate"
663,"coffee"
664,"bottled beer"
665,"beef"
666,"whole milk"
667,"frankfurter"
668,"specialty bar"
669,"frankfurter"
670,"curd"
671,"hygiene articles"
673,"frankfurter"
674,"seasonal products"
675,"whole milk"
676,"frankfurter"
678,"bottled water"
679,"pork"
680,"rolls/buns"
681,"bottled water"
683,"hamburger meat"
684,"canned beer"
685,"hamburger meat"
686,"shopping bags"
687,"whole milk"
688,"ice cream"
689,"pastry"
690,"ham"
691,"dessert"
692,"cream cheese"
693,"chocolate"
694,"frankfurter"
695,"sausage"
696,"domestic eggs"
697,"organic products"
698,"bottled beer"
699,"bottled water"
700,"meat"
701,"bottled water"
702,"dessert"
704,"beverages"
705,"ham"
706,"specialty bar"
707,"brown bread"
708,"whole milk"
709,"rolls/buns"
710,"bottled beer"
711,"pet care"
712,"citrus fruit"
713,"pork"
715,"white wine"
716,"whole milk"
717,"pip fruit"
718,"sugar"
719,"tropical fruit"
720,"fruit/vegetable juice"
721,"root vegetables"
722,"white bread"
723,"fruit/vegetable juice"
724,"soda"
725,"whole milk"
726,"tropical fruit"
727,"male cosmetics"
728,"white bread"
729,"brown bread"
730,"tropical fruit"
731,"red/blush wine"
732,"domestic eggs"
733,"coffee"
734,"soda"
735,"whole milk"
736,"bottled beer"
737,"pork"
738,"whole milk"
739,"oil"
740,"soda"
741,"newspapers"
743,"yogurt"
744,"sparkling wine"
745,"bottled water"
746,"citrus fruit"
747,"sugar"
748,"hamburger meat"
749,"rolls/buns"
750,"packaged fruit/vegetables"
752,"soda"
753,"whole milk"
754,"bottled water"
755,"herbs"
756,"citrus fruit"
757,"misc. beverages"
758,"female sanitary products"
759,"soda"
760,"tropical fruit"
761,"pasta"
762,"soda"
763,"white bread"
764,"coffee"
765,"tropical fruit"
766,"honey"
767,"chocolate marshmallow"
768,"pork"
769,"citrus fruit"
770,"frankfurter"
771,"frankfurter"
772,"frankfurter"
773,"UHT-milk"
774,"hygiene articles"
776,"yogurt"
777,"sausage"
778,"cereals"
779,"whole milk"
780,"pip fruit"
781,"bottled water"
782,"whole milk"
783,"root vegetables"
784,"onions"
785,"specialty chocolate"
786,"hamburger meat"
787,"photo/film"
788,"rolls/buns"
789,"canned beer"
790,"canned beer"
792,"soda"
793,"canned beer"
794,"curd"
795,"spices"
796,"butter"
798,"bottled water"
799,"whole milk"
800,"beef"
801,"curd"
802,"sausage"
803,"soda"
804,"fruit/vegetable juice"
805,"rolls/buns"
806,"shopping bags"
807,"pip fruit"
808,"frozen vegetables"
809,"napkins"
810,"beverages"
811,"hamburger meat"
812,"roll products"
813,"root vegetables"
814,"fruit/vegetable juice"
815,"canned beer"
816,"frozen vegetables"
817,"canned beer"
818,"newspapers"
819,"rolls/buns"
820,"hamburger meat"
821,"pip fruit"
822,"canned beer"
823,"grapes"
824,"white wine"
825,"root vegetables"
826,"rolls/buns"
827,"citrus fruit"
828,"salty snack"
829,"cling film/bags"
830,"frankfurter"
831,"baking powder"
832,"whole milk"
833,"pork"
834,"yogurt"
835,"domestic eggs"
836,"soap"
837,"chicken"
838,"sausage"
839,"specialty bar"
840,"whipped/sour cream"
841,"root vegetables"
842,"rolls/buns"
844,"citrus fruit"
846,"rubbing alcohol"
847,"whole milk"
848,"soda"
849,"frankfurter"
850,"whole milk"
851,"candy"
852,"coffee"
853,"ham"
854,"canned beer"
855,"canned beer"
856,"canned beer"
857,"pip fruit"
858,"pork"
859,"curd"
860,"soda"
861,"soap"
862,"pip fruit"
863,"bottled water"
864,"beef"
865,"mustard"
866,"sausage"
867,"yogurt"
868,"chocolate"
869,"frozen chicken"
870,"soda"
871,"tropical fruit"
872,"brown bread"
874,"beef"
875,"oil"
876,"newspapers"
877,"meat"
878,"root vegetables"
879,"meat"
880,"whole milk"
881,"bottled water"
882,"newspapers"
883,"rolls/buns"
884,"pastry"
885,"pork"
886,"pip fruit"
887,"light bulbs"
888,"beef"
889,"UHT-milk"
890,"skin care"
891,"beef"
892,"sugar"
893,"rolls/buns"
894,"citrus fruit"
895,"butter"
896,"canned vegetables"
897,"meat"
898,"frozen dessert"
899,"oil"
900,"beverages"
901,"beef"
902,"ham"
903,"hair spray"
904,"hamburger meat"
905,"soups"
906,"bottled beer"
907,"beef"
908,"sliced cheese"
909,"bottled water"
910,"beef"
911,"rolls/buns"
912,"fruit/vegetable juice"
913,"root vegetables"
914,"citrus fruit"
915,"frozen vegetables"
916,"rum"
917,"yogurt"
918,"tropical fruit"
919,"brown bread"
920,"frankfurter"
921,"beef"
922,"pastry"
923,"shopping bags"
924,"canned beer"
925,"rolls/buns"
927,"soda"
928,"candy"
929,"hamburger meat"
930,"bottled water"
931,"hamburger meat"
932,"Instant food products"
933,"fruit/vegetable juice"
934,"frankfurter"
935,"chewing gum"
936,"bottled beer"
937,"tropical fruit"
938,"soda"
939,"frankfurter"
940,"white bread"
941,"chicken"
942,"soups"
943,"napkins"
944,"coffee"
945,"whole milk"
946,"margarine"
947,"tropical fruit"
948,"meat"
949,"cream cheese"
950,"newspapers"
951,"rolls/buns"
952,"citrus fruit"
953,"yogurt"
954,"whole milk"
955,"frankfurter"
956,"rolls/buns"
957,"ham"
958,"sugar"
959,"frankfurter"
960,"sausage"
961,"domestic eggs"
962,"domestic eggs"
963,"whole milk"
964,"rolls/buns"
965,"whole milk"
966,"sausage"
967,"soda"
968,"curd"
969,"bottled water"
970,"beef"
971,"frankfurter"
972,"potato products"
973,"chocolate marshmallow"
974,"chicken"
975,"sausage"
976,"pastry"
977,"potted plants"
978,"pork"
979,"yogurt"
980,"whole milk"
981,"detergent"
982,"frankfurter"
983,"rolls/buns"
984,"soda"
985,"beef"
986,"newspapers"
987,"pip fruit"
988,"rolls/buns"
989,"sausage"
990,"chocolate"
991,"pastry"
992,"chicken"
993,"root vegetables"
994,"frozen vegetables"
995,"whole milk"
996,"detergent"
997,"rolls/buns"
998,"house keeping products"
999,"yogurt"
1000,"cleaner"
1001,"tropical fruit"
1002,"soda"
1003,"tropical fruit"
1004,"curd"
1005,"beef"
1006,"whole milk"
1007,"bottled water"
1008,"pork"
1009,"canned beer"
1011,"margarine"
1012,"rolls/buns"
1013,"white wine"
1014,"frankfurter"
1015,"roll products"
1016,"yogurt"
1017,"whole milk"
1018,"coffee"
1019,"bottled water"
1020,"frankfurter"
1021,"rolls/buns"
1022,"whole milk"
1023,"rolls/buns"
1024,"chicken"
1025,"brown bread"
1026,"tropical fruit"
1027,"dishes"
1028,"sausage"
1029,"brown bread"
1030,"sausage"
1031,"hard cheese"
1032,"frankfurter"
1033,"ready soups"
1034,"UHT-milk"
1035,"newspapers"
1036,"rolls/buns"
1037,"canned beer"
1038,"yogurt"
1039,"whipped/sour cream"
1040,"rolls/buns"
1041,"rolls/buns"
1042,"beverages"
1043,"rolls/buns"
1044,"rolls/buns"
1045,"bottled beer"
1046,"citrus fruit"
1047,"rolls/buns"
1048,"bottled water"
1049,"pastry"
1050,"domestic eggs"
1051,"candles"
1052,"beef"
1053,"margarine"
1054,"spread cheese"
1055,"tropical fruit"
1056,"packaged fruit/vegetables"
1057,"whole milk"
1058,"salty snack"
1059,"meat"
1060,"butter"
1061,"onions"
1062,"detergent"
1063,"frankfurter"
1064,"UHT-milk"
1065,"bottled water"
1066,"beef"
1067,"beef"
1068,"sausage"
1069,"chicken"
1070,"canned beer"
1071,"sausage"
1072,"bottled beer"
1073,"tropical fruit"
1074,"whipped/sour cream"
1075,"frankfurter"
1076,"newspapers"
1077,"sausage"
1078,"beef"
1079,"tropical fruit"
1080,"yogurt"
1081,"frankfurter"
1082,"bottled beer"
1083,"grapes"
1084,"beverages"
1085,"curd"
1086,"ice cream"
1087,"sausage"
1088,"shopping bags"
1090,"dessert"
1091,"decalcifier"
1092,"canned beer"
1093,"coffee"
1094,"berries"
1095,"pork"
1096,"bottled beer"
1097,"frankfurter"
1099,"cream cheese"
1100,"sugar"
1101,"pork"
1102,"bottled water"
1103,"frankfurter"
1104,"onions"
1105,"bottled water"
1106,"frozen dessert"
1107,"chicken"
1108,"frozen vegetables"
1109,"vinegar"
1110,"rolls/buns"
1111,"whole milk"
1112,"pork"
1113,"rolls/buns"
1114,"grapes"
1115,"dishes"
1116,"frankfurter"
1117,"rolls/buns"
1118,"finished products"
1119,"specialty cheese"
1120,"bottled beer"
1121,"onions"
1122,"tropical fruit"
1124,"chocolate marshmallow"
1125,"ham"
1126,"whole milk"
1128,"curd"
1129,"sausage"
1130,"canned beer"
1131,"ham"
1132,"onions"
1133,"frozen vegetables"
1134,"liquor (appetizer)"
1135,"skin care"
1136,"packaged fruit/vegetables"
1137,"UHT-milk"
1138,"meat"
1139,"whole milk"
1140,"canned beer"
1141,"chicken"
1142,"long life bakery product"
1143,"rolls/buns"
1144,"pet care"
1145,"root vegetables"
1146,"pastry"
1147,"frankfurter"
1148,"rolls/buns"
1149,"flower (seeds)"
1150,"chicken"
1151,"mayonnaise"
1152,"frozen dessert"
1153,"citrus fruit"
1154,"rolls/buns"
1155,"soda"
1156,"shopping bags"
1157,"sausage"
1158,"root vegetables"
1159,"cat food"
1160,"root vegetables"
1161,"whole milk"
1162,"pasta"
1163,"detergent"
1164,"root vegetables"
1165,"bottled beer"
1166,"frankfurter"
1167,"root vegetables"
1168,"berries"
1169,"bottled water"
1170,"hamburger meat"
1171,"tropical fruit"
1172,"margarine"
1173,"frankfurter"
1174,"waffles"
1175,"frankfurter"
1176,"specialty bar"
1177,"soda"
1178,"ice cream"
1179,"beef"
1180,"pastry"
1181,"whole milk"
1182,"photo/film"
1183,"pork"
1184,"curd"
1185,"sugar"
1186,"whole milk"
1187,"bottled beer"
1188,"pork"
1189,"margarine"
1190,"root vegetables"
1191,"canned beer"
1192,"citrus fruit"
1193,"whipped/sour cream"
1194,"bottled beer"
1195,"pip fruit"
1196,"coffee"
1197,"root vegetables"
1198,"rice"
1199,"tropical fruit"
1200,"newspapers"
1201,"beef"
1202,"butter"
1203,"pasta"
1204,"chicken"
1205,"white bread"
1206,"citrus fruit"
1207,"pastry"
1208,"newspapers"
1209,"meat"
1211,"margarine"
1212,"cream cheese"
1213,"citrus fruit"
1214,"bottled beer"
1215,"specialty bar"
1216,"meat"
1217,"rolls/buns"
1218,"newspapers"
1219,"citrus fruit"
1220,"frankfurter"
1221,"packaged fruit/vegetables"
1222,"citrus fruit"
1223,"turkey"
1224,"bottled beer"
1225,"citrus fruit"
1226,"yogurt"
1227,"dog food"
1228,"sausage"
1229,"newspapers"
1230,"whole milk"
1231,"yogurt"
1232,"yogurt"
1233,"bottled water"
1234,"berries"
1235,"packaged fruit/vegetables"
1236,"frankfurter"
1237,"nuts/prunes"
1238,"soda"
1239,"citrus fruit"
1240,"butter"
1241,"coffee"
1242,"beef"
1243,"curd"
1244,"whole milk"
1245,"canned beer"
1247,"beef"
1248,"fish"
1249,"dessert"
1250,"white wine"
1252,"domestic eggs"
1253,"tropical fruit"
1254,"butter"
1255,"hard cheese"
1256,"coffee"
1257,"sausage"
1258,"rolls/buns"
1259,"bottled water"
1260,"meat"
1261,"cream cheese"
1262,"chicken"
1264,"margarine"
1265,"abrasive cleaner"
1266,"berries"
1267,"organic products"
1268,"frozen meals"
1269,"whipped/sour cream"
1270,"beef"
1271,"shopping bags"
1272,"chicken"
1273,"whipped/sour cream"
1274,"bottled water"
1275,"chicken"
1276,"nuts/prunes"
1277,"spread cheese"
1278,"soda"
1279,"beef"
1281,"rolls/buns"
1282,"salty snack"
1283,"packaged fruit/vegetables"
1284,"sugar"
1285,"frankfurter"
1286,"packaged fruit/vegetables"
1287,"sliced cheese"
1288,"berries"
1289,"bottled water"
1290,"sausage"
1291,"root vegetables"
1292,"whole milk"
1293,"fruit/vegetable juice"
1294,"ice cream"
1295,"frankfurter"
1296,"root vegetables"
1297,"sweet spreads"
1298,"sausage"
1299,"sausage"
1300,"berries"
1301,"sliced cheese"
1302,"beef"
1303,"fruit/vegetable juice"
1304,"sugar"
1305,"berries"
1306,"yogurt"
1307,"pork"
1308,"bottled beer"
1309,"curd"
1310,"coffee"
1311,"beef"
1312,"pork"
1313,"flour"
1314,"newspapers"
1315,"white bread"
1316,"grapes"
1317,"white bread"
1318,"potato products"
1319,"root vegetables"
1320,"coffee"
1321,"chicken"
1322,"canned beer"
1323,"chicken"
1324,"fish"
1325,"canned beer"
1327,"brown bread"
1328,"chicken"
1329,"brown bread"
1330,"newspapers"
1332,"tropical fruit"
1333,"whole milk"
1334,"beef"
1335,"hygiene articles"
1336,"sausage"
1337,"salty snack"
1338,"whole milk"
1339,"rolls/buns"
1340,"citrus fruit"
1341,"whole milk"
1342,"bottled water"
1343,"pastry"
1344,"tropical fruit"
1345,"soft cheese"
1346,"frozen vegetables"
1347,"fruit/vegetable juice"
1348,"sliced cheese"
1349,"soda"
1350,"ham"
1351,"frozen meals"
1352,"salty snack"
1353,"whole milk"
1354,"coffee"
1355,"root vegetables"
1356,"soda"
1357,"curd"
1358,"canned beer"
1359,"bottled water"
1360,"napkins"
1361,"packaged fruit/vegetables"
1362,"tropical fruit"
1363,"bottled water"
1364,"ham"
1365,"whipped/sour cream"
1366,"bottled water"
1367,"chocolate"
1368,"pork"
1369,"soda"
1370,"beverages"
1371,"liqueur"
1372,"sausage"
1373,"sausage"
1374,"rolls/buns"
1375,"root vegetables"
1376,"cream cheese"
1377,"whole milk"
1378,"frankfurter"
1379,"yogurt"
1380,"soda"
1381,"soda"
1382,"frankfurter"
1383,"berries"
1384,"detergent"
1385,"canned beer"
1386,"frankfurter"
1387,"soda"
1388,"frankfurter"
1389,"curd"
1390,"sugar"
1391,"chocolate marshmallow"
1392,"berries"
1393,"sugar"
1394,"frankfurter"
1395,"newspapers"
1396,"frozen fish"
1397,"tropical fruit"
1398,"beef"
1399,"yogurt"
1400,"rolls/buns"
1401,"specialty chocolate"
1402,"specialty chocolate"
1403,"sparkling wine"
1404,"citrus fruit"
1405,"onions"
1406,"whole milk"
1407,"photo/film"
1408,"hamburger meat"
1410,"whole milk"
1411,"pork"
1412,"soda"
1413,"tropical fruit"
1414,"whole milk"
1415,"whipped/sour cream"
1416,"baking powder"
1417,"canned beer"
1418,"chicken"
1419,"whipped/sour cream"
1421,"sausage"
1422,"whole milk"
1423,"rolls/buns"
1424,"hygiene articles"
1425,"ice cream"
1426,"curd"
1427,"misc. beverages"
1428,"whole milk"
1429,"onions"
1430,"rolls/buns"
1431,"finished products"
1432,"fruit/vegetable juice"
1433,"salt"
1434,"tropical fruit"
1435,"white bread"
1436,"fruit/vegetable juice"
1438,"chocolate"
1439,"ice cream"
1440,"tropical fruit"
1441,"frankfurter"
1442,"sliced cheese"
1443,"butter"
1444,"flower (seeds)"
1446,"tropical fruit"
1447,"citrus fruit"
1448,"sliced cheese"
1449,"zwieback"
1450,"UHT-milk"
1451,"shopping bags"
1452,"beef"
1453,"curd"
1454,"canned vegetables"
1455,"citrus fruit"
1456,"yogurt"
1457,"salty snack"
1458,"yogurt"
1459,"bottled beer"
1460,"grapes"
1461,"pork"
1462,"sausage"
1463,"whole milk"
1464,"frozen vegetables"
1465,"soups"
1466,"napkins"
1467,"frankfurter"
1468,"root vegetables"
1469,"mayonnaise"
1470,"mustard"
1471,"salty snack"
1472,"artif. sweetener"
1473,"frankfurter"
1474,"rolls/buns"
1475,"pip fruit"
1476,"domestic eggs"
1477,"frankfurter"
1478,"whole milk"
1479,"domestic eggs"
1480,"packaged fruit/vegetables"
1481,"soda"
1482,"shopping bags"
1483,"chicken"
1484,"bottled water"
1485,"pork"
1486,"whipped/sour cream"
1487,"sugar"
1488,"salty snack"
1489,"citrus fruit"
1490,"yogurt"
1491,"vinegar"
1492,"detergent"
1493,"light bulbs"
1494,"cream cheese"
1495,"sausage"
1496,"cake bar"
1497,"house keeping products"
1498,"citrus fruit"
1500,"chicken"
1502,"whipped/sour cream"
1503,"domestic eggs"
1504,"dog food"
1505,"softener"
1506,"ice cream"
1507,"pork"
1508,"newspapers"
1509,"pork"
1510,"semi-finished bread"
1511,"organic products"
1512,"onions"
